row_id,chemical_id,smiles,assay_id,endpoint,relation,value,unit,source_activity_id,source_document,source_year,pchembl_export,potential_duplicate,data_validity,record_origin
ACT-0086,CHEMBL6058303,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)C[C@H](C)N(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,44.9,nM,28327910,CHEMBL5728430,2021,7.35,0,,public_measurement_reformatted
ACT-0087,CHEMBL5775091,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCS(C)(=O)=NC#N)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,23.6,nM,28327919,CHEMBL5728430,2021,7.63,0,,public_measurement_reformatted
ACT-0088,CHEMBL4449998,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1CC1CC1,CHEMBL5736732,IC50,=,232,nM,28327928,CHEMBL5728430,2021,6.63,1,,public_measurement_reformatted
ACT-0089,CHEMBL5832698,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,444,nM,28327937,CHEMBL5728430,2021,6.35,1,,public_measurement_reformatted
ACT-0090,CHEMBL5994564,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CCCN4C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,28.5,nM,28327964,CHEMBL5728430,2021,7.54,1,,public_measurement_reformatted
ACT-0091,CHEMBL5755607,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN=C(N)N)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,0.0194,uM,28327973,CHEMBL5728430,2021,7.71,1,,public_measurement_reformatted
ACT-0092,CHEMBL4463874,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)CCNC(=N)N)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,78.2,nM,28327982,CHEMBL5728430,2021,7.11,1,,public_measurement_reformatted
ACT-0093,CHEMBL4439999,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)CC[Si](C)(C)C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,25.1,nM,28327991,CHEMBL5728430,2021,7.60,1,,public_measurement_reformatted
ACT-0094,CHEMBL4461579,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C(=S)n4ccnc4)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,147,nM,28328000,CHEMBL5728430,2021,6.83,1,,public_measurement_reformatted
ACT-0095,CHEMBL6033665,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C,CHEMBL5736732,IC50,=,486,nM,28328009,CHEMBL5728430,2021,6.31,1,,public_measurement_reformatted
