canonical,CDK1,CDK2,compound_id,connectivity,validation_group,partition,delta_p,delta_lower_bound,ratio,ratio_lower_bound
N#CC1(COc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)CC1,5.384049948343599,7.638272163982407,HC-f7b21e1e71b0c951f10bd450,N#CC1(COc2n[nH]cc2Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)CC1,N#CC1(COc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)CC1,train,2.2542222156388076,,179.56521739130415,
N#Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,6.180456064458132,8.096910013008056,HC-bfbfe1ba07267c7467f4d5e3,N#Cc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,N#Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,train,1.9164539485499246,,82.4999999999999,
O=C1N([C@@H]2CCCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3Cl)ncc2C12CC2,5.3851027839668655,7.356547323513812,HC-f417a6de46dac061f520d36b,O=C1N(C2CCCCC(O)C2)c2nc(Nc3c[nH]nc3Cl)ncc2C12CC2,O=C1N([C@@H]2CCCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3Cl)ncc2C12CC2,development,1.9714445395469467,,93.63636363636353,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3ccccn3)ncc2C12CC2,,6.790484985457369,HC-0e61d12135d0e4cf103c865a,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3-c3ccccn3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3ccccn3)ncc2C12CC2,development,,1.7904849854573692,,61.72839506172842
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn(C(F)F)c3)ncc2C12CC2,5.636388020107856,8.0,HC-2e0b0f25d59ec06ee68341fa,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3-c3cnn(C(F)F)c3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn(C(F)F)c3)ncc2C12CC2,train,2.363611979892144,,230.99999999999983,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4c3CCCC4)ncc2C12CC2,,7.309803919971486,HC-73007618db6a4686b9849357,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3-c3cnn4c3CCCC4)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4c3CCCC4)ncc2C12CC2,train,,2.309803919971486,,204.08163265306112
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4ccccc34)ncc2C12CC2,5.928117992693875,7.958607314841775,HC-8f710485ebf3f87d21f60884,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3-c3cnn4ccccc34)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4ccccc34)ncc2C12CC2,train,2.0304893221478997,,107.27272727272711,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4cccnc34)ncc2C12CC2,6.3872161432802645,8.221848749616356,HC-93bbe4e621673d55f3fd1e2e,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3-c3cnn4cccnc34)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4cccnc34)ncc2C12CC2,train,1.8346326063360916,,68.33333333333329,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4ccncc34)ncc2C12CC2,5.6595558851598815,7.920818753952375,HC-ef6de8e9d45c5fe0e57df35a,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3-c3cnn4ccncc34)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4ccncc34)ncc2C12CC2,development,2.2612628687924934,,182.49999999999994,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C#Cc3cccnc3)ncc2C12CC2,5.30189945437661,7.4089353929735005,HC-da3608223c73e97e5aa8f685,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3C#Cc3cccnc3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C#Cc3cccnc3)ncc2C12CC2,train,2.1070359385968906,,127.94871794871793,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,6.086186147616283,8.154901959985743,HC-7350858643b60d93c162c48a,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,train,2.06871581236946,,117.14285714285712,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C3CC3)ncc2C12CC2,5.809668301829708,7.522878745280337,HC-0a648051370c6c4ab21a15c2,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3C3CC3)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C3CC3)ncc2C12CC2,train,1.7132104434506292,,51.666666666666686,
O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,5.531652669587842,7.494850021680094,HC-c707580e4311a12b44cabf6a,O=C1N(C2CCCC(O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,train,1.9631973520922514,,91.87500000000003,
